County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Solano,44016.00,99.00,1.00,14.00,24.00,7.00,6.00
Sonoma,44016.00,102.00,1.00,6.00,28.00,2.00,6.00
Stanislaus,44016.00,83.00,0.00,28.00,40.00,13.00,9.00
Sutter,44016.00,16.00,2.00,0.00,0.00,,
Tehama,44016.00,1.00,0.00,0.00,1.00,0.00,0.00
Trinity,44016.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,44016.00,144.00,5.00,8.00,23.00,5.00,6.00
Tuolumne,44016.00,1.00,0.00,0.00,0.00,0.00,0.00
Unassigned,44016.00,53.00,2.00,,,,
Ventura,44016.00,247.00,6.00,22.00,68.00,9.00,20.00
Yolo,44016.00,51.00,2.00,2.00,3.00,2.00,1.00
Yuba,44016.00,10.00,0.00,2.00,25.00,1.00,5.00
Alameda,44047.00,594.00,15.00,84.00,69.00,45.00,18.00
Alpine,44047.00,1.00,0.00,,,,
Amador,44047.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,44047.00,11.00,0.00,1.00,15.00,1.00,7.00
Calaveras,44047.00,5.00,0.00,0.00,2.00,0.00,0.00
Colusa,44047.00,3.00,0.00,0.00,0.00,0.00,0.00
Contra Costa,44047.00,481.00,7.00,35.00,50.00,18.00,13.00
Del Norte,44047.00,2.00,0.00,0.00,2.00,0.00,1.00
El Dorado,44047.00,25.00,0.00,16.00,3.00,0.00,1.00
Fresno,44047.00,151.00,3.00,22.00,63.00,10.00,8.00
Glenn,44047.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,44047.00,40.00,0.00,2.00,3.00,0.00,0.00
Imperial,44047.00,59.00,2.00,16.00,7.00,8.00,3.00
Inyo,44047.00,11.00,0.00,9.00,128.00,1.00,1.00
Kern,44047.00,198.00,2.00,31.00,57.00,16.00,3.00
Kings,44047.00,5.00,0.00,2.00,8.00,1.00,1.00
Lake,44047.00,1.00,0.00,0.00,0.00,0.00,1.00
Lassen,44047.00,0.00,0.00,0.00,1.00,0.00,0.00
Los Angeles,44047.00,7505.00,196.00,1331.00,1077.00,532.00,211.00
Madera,44047.00,28.00,2.00,0.00,6.00,0.00,1.00
Marin,44047.00,125.00,7.00,5.00,3.00,4.00,2.00
Mariposa,44047.00,0.00,0.00,0.00,0.00,0.00,0.00
Mendocino,44047.00,4.00,0.00,0.00,0.00,0.00,0.00
Merced,44047.00,35.00,1.00,1.00,1.00,0.00,2.00
Modoc,44047.00,0.00,0.00,0.00,0.00,0.00,0.00
Mono,44047.00,19.00,1.00,19.00,8.00,0.00,0.00
Monterey,44047.00,68.00,3.00,18.00,24.00,5.00,0.00
Napa,44047.00,21.00,2.00,0.00,7.00,0.00,1.00
Nevada,44047.00,21.00,1.00,2.00,7.00,2.00,2.00
Orange,44047.00,1034.00,19.00,153.00,181.00,49.00,34.00
Placer,44047.00,102.00,4.00,18.00,15.00,10.00,2.00
Plumas,44047.00,3.00,0.00,0.00,1.00,0.00,0.00
Riverside,44047.00,974.00,28.00,149.00,145.00,56.00,41.00
Sacramento,44047.00,565.00,21.00,76.00,81.00,28.00,12.00
San Benito,44047.00,31.00,2.00,2.00,0.00,1.00,0.00
San Bernardino,44047.00,635.00,22.00,132.00,301.00,51.00,53.00
San Diego,44047.00,1532.00,36.00,225.00,103.00,92.00,24.00
San Francisco,44047.00,687.00,7.00,90.00,116.00,36.00,17.00
San Joaquin,44047.00,211.00,12.00,32.00,19.00,11.00,8.00
San Luis Obispo,44047.00,90.00,1.00,2.00,13.00,2.00,11.00
San Mateo,44047.00,608.00,22.00,66.00,20.00,25.00,2.00
Santa Barbara,44047.00,221.00,2.00,42.00,18.00,19.00,1.00
Santa Clara,44047.00,1257.00,47.00,156.00,34.00,70.00,6.00
Santa Cruz,44047.00,69.00,1.00,4.00,9.00,3.00,4.00
Shasta,44047.00,18.00,3.00,4.00,5.00,2.00,2.00
Sierra,44047.00,0.00,0.00,,,,
Siskiyou,44047.00,4.00,0.00,0.00,3.00,0.00,1.00
Solano,44047.00,111.00,2.00,15.00,19.00,8.00,2.00
Sonoma,44047.00,107.00,1.00,6.00,22.00,2.00,5.00
Stanislaus,44047.00,86.00,0.00,30.00,35.00,11.00,5.00
Sutter,44047.00,17.00,2.00,0.00,0.00,,
Tehama,44047.00,1.00,0.00,0.00,2.00,0.00,0.00
Trinity,44047.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,44047.00,145.00,6.00,7.00,16.00,2.00,5.00
Tuolumne,44047.00,0.00,0.00,0.00,0.00,0.00,0.00
Unassigned,44047.00,55.00,2.00,,,,
Ventura,44047.00,263.00,7.00,18.00,73.00,9.00,14.00
Yolo,44047.00,56.00,3.00,2.00,7.00,1.00,2.00
Yuba,44047.00,10.00,0.00,2.00,24.00,1.00,3.00
Alameda,44078.00,641.00,17.00,80.00,76.00,44.00,18.00
Alpine,44078.00,1.00,0.00,0.00,0.00,0.00,0.00
Amador,44078.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,44078.00,12.00,0.00,1.00,14.00,1.00,4.00
Calaveras,44078.00,5.00,0.00,0.00,0.00,0.00,0.00
Colusa,44078.00,3.00,0.00,0.00,0.00,0.00,1.00
Contra Costa,44078.00,505.00,7.00,37.00,64.00,18.00,12.00
Del Norte,44078.00,2.00,0.00,0.00,2.00,0.00,0.00
El Dorado,44078.00,25.00,0.00,17.00,3.00,0.00,1.00
Fresno,44078.00,165.00,3.00,25.00,41.00,10.00,9.00
Glenn,44078.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,44078.00,36.00,0.00,2.00,6.00,0.00,2.00
Imperial,44078.00,67.00,2.00,14.00,10.00,7.00,3.00
Inyo,44078.00,11.00,0.00,9.00,135.00,1.00,0.00
Kern,44078.00,241.00,2.00,27.00,35.00,16.00,9.00
Kings,44078.00,5.00,0.00,6.00,6.00,3.00,0.00
Lake,44078.00,1.00,0.00,0.00,0.00,0.00,1.00
Lassen,44078.00,0.00,0.00,0.00,2.00,0.00,0.00
Los Angeles,44078.00,7919.00,220.00,1368.00,758.00,541.00,156.00
Madera,44078.00,28.00,2.00,0.00,3.00,0.00,2.00
Marin,44078.00,126.00,7.00,5.00,7.00,2.00,1.00
Mariposa,44078.00,0.00,0.00,0.00,0.00,0.00,0.00
Mendocino,44078.00,4.00,0.00,0.00,0.00,0.00,0.00
Merced,44078.00,41.00,3.00,1.00,7.00,0.00,2.00
Modoc,44078.00,0.00,0.00,0.00,0.00,0.00,0.00
Mono,44078.00,19.00,1.00,18.00,15.00,0.00,0.00
Monterey,44078.00,70.00,3.00,17.00,26.00,5.00,0.00
Napa,44078.00,27.00,2.00,0.00,7.00,0.00,0.00
Nevada,44078.00,23.00,1.00,2.00,4.00,2.00,1.00
Orange,44078.00,1105.00,19.00,146.00,117.00,45.00,29.00
Placer,44078.00,107.00,4.00,18.00,12.00,9.00,1.00
Plumas,44078.00,3.00,0.00,0.00,1.00,0.00,0.00
Riverside,44078.00,1083.00,29.00,201.00,159.00,59.00,34.00
Sacramento,44078.00,601.00,21.00,74.00,60.00,31.00,11.00
San Benito,44078.00,32.00,2.00,2.00,1.00,1.00,0.00
San Bernardino,44078.00,717.00,27.00,136.00,269.00,56.00,41.00
San Diego,44078.00,1630.00,40.00,227.00,124.00,98.00,18.00
San Francisco,44078.00,748.00,8.00,88.00,64.00,33.00,13.00
San Joaquin,44078.00,223.00,14.00,29.00,18.00,12.00,7.00
San Luis Obispo,44078.00,93.00,1.00,2.00,10.00,2.00,8.00
San Mateo,44078.00,630.00,23.00,58.00,14.00,18.00,2.00
Santa Barbara,44078.00,232.00,2.00,40.00,18.00,20.00,2.00
Santa Clara,44078.00,1301.00,49.00,158.00,65.00,70.00,17.00
Santa Cruz,44078.00,73.00,1.00,4.00,14.00,2.00,5.00
Shasta,44078.00,22.00,3.00,5.00,7.00,2.00,1.00
Sierra,44078.00,0.00,0.00,0.00,0.00,0.00,0.00
Siskiyou,44078.00,4.00,0.00,0.00,2.00,0.00,0.00
Solano,44078.00,118.00,2.00,14.00,9.00,8.00,0.00
Sonoma,44078.00,113.00,1.00,5.00,21.00,2.00,4.00
Stanislaus,44078.00,93.00,0.00,28.00,30.00,11.00,7.00
Sutter,44078.00,17.00,2.00,0.00,0.00,0.00,0.00
Tehama,44078.00,1.00,0.00,0.00,1.00,0.00,1.00
Trinity,44078.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,44078.00,147.00,9.00,10.00,11.00,5.00,4.00
Tuolumne,44078.00,0.00,0.00,0.00,0.00,0.00,0.00
Unassigned,44078.00,53.00,2.00,0.00,0.00,0.00,0.00
Ventura,44078.00,273.00,9.00,18.00,69.00,8.00,13.00
Yolo,44078.00,59.00,3.00,2.00,4.00,1.00,2.00
Yuba,44078.00,13.00,0.00,3.00,18.00,2.00,4.00
