County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
San Benito,43865.00,18.00,1.00,2.00,0.00,2.00,0.00
San Bernardino,43865.00,335.00,8.00,126.00,185.00,50.00,45.00
San Diego,43865.00,968.00,16.00,144.00,343.00,69.00,35.00
San Francisco,43865.00,473.00,6.00,75.00,60.00,32.00,11.00
San Joaquin,43865.00,148.00,9.00,42.00,42.00,20.00,7.00
San Luis Obispo,43865.00,79.00,0.00,5.00,5.00,4.00,4.00
San Mateo,43865.00,423.00,13.00,62.00,40.00,26.00,4.00
Santa Barbara,43865.00,125.00,1.00,26.00,44.00,18.00,10.00
Santa Clara,43865.00,908.00,38.00,163.00,101.00,69.00,19.00
Santa Cruz,43865.00,49.00,1.00,4.00,4.00,3.00,0.00
Shasta,43865.00,7.00,1.00,2.00,4.00,1.00,0.00
Sierra,43865.00,0.00,0.00,,,,
Siskiyou,43865.00,3.00,0.00,0.00,3.00,0.00,2.00
Solano,43865.00,65.00,0.00,15.00,8.00,7.00,1.00
Sonoma,43865.00,76.00,1.00,8.00,18.00,1.00,0.00
Stanislaus,43865.00,40.00,0.00,30.00,43.00,11.00,7.00
Sutter,43865.00,10.00,1.00,0.00,0.00,,
Tehama,43865.00,1.00,0.00,0.00,1.00,0.00,1.00
Trinity,43865.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,43865.00,64.00,1.00,4.00,26.00,4.00,5.00
Tuolumne,43865.00,1.00,0.00,0.00,0.00,0.00,0.00
Unassigned,43865.00,49.00,1.00,,,,
Ventura,43865.00,178.00,5.00,27.00,111.00,7.00,24.00
Yolo,43865.00,29.00,1.00,3.00,2.00,2.00,3.00
Yuba,43865.00,5.00,0.00,2.00,25.00,2.00,6.00
Alameda,43894.00,395.00,11.00,64.00,74.00,32.00,13.00
Alpine,43894.00,1.00,0.00,,,,
Amador,43894.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,43894.00,8.00,0.00,3.00,19.00,2.00,6.00
Calaveras,43894.00,3.00,0.00,0.00,1.00,0.00,0.00
Colusa,43894.00,1.00,0.00,1.00,0.00,1.00,0.00
Contra Costa,43894.00,327.00,5.00,31.00,39.00,15.00,10.00
Del Norte,43894.00,1.00,0.00,0.00,2.00,0.00,0.00
El Dorado,43894.00,16.00,0.00,15.00,9.00,0.00,4.00
Fresno,43894.00,98.00,1.00,15.00,81.00,7.00,16.00
Glenn,43894.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,43894.00,34.00,0.00,1.00,7.00,0.00,0.00
Imperial,43894.00,35.00,0.00,9.00,7.00,7.00,0.00
Inyo,43894.00,10.00,0.00,8.00,102.00,1.00,2.00
Kern,43894.00,87.00,1.00,35.00,73.00,12.00,16.00
Kings,43894.00,3.00,0.00,0.00,3.00,1.00,0.00
Lake,43894.00,0.00,0.00,0.00,2.00,0.00,1.00
Lassen,43894.00,0.00,0.00,0.00,3.00,0.00,0.00
Los Angeles,43894.00,4566.00,91.00,962.00,1239.00,422.00,209.00
Madera,43894.00,28.00,2.00,0.00,5.00,0.00,1.00
Marin,43894.00,106.00,6.00,6.00,16.00,3.00,5.00
Mariposa,43894.00,0.00,0.00,0.00,2.00,0.00,0.00
Mendocino,43894.00,4.00,0.00,0.00,5.00,0.00,1.00
Merced,43894.00,9.00,0.00,4.00,5.00,1.00,1.00
Modoc,43894.00,0.00,0.00,0.00,0.00,0.00,0.00
Mono,43894.00,18.00,1.00,18.00,2.00,0.00,0.00
Monterey,43894.00,58.00,2.00,16.00,18.00,3.00,1.00
Napa,43894.00,13.00,1.00,1.00,9.00,0.00,1.00
Nevada,43894.00,19.00,1.00,2.00,4.00,2.00,1.00
Orange,43894.00,713.00,13.00,131.00,182.00,66.00,36.00
Placer,43894.00,76.00,2.00,21.00,23.00,10.00,1.00
Plumas,43894.00,2.00,0.00,0.00,0.00,0.00,0.00
Riverside,43894.00,540.00,14.00,105.00,182.00,44.00,59.00
Sacramento,43894.00,363.00,11.00,77.00,76.00,28.00,17.00
San Benito,43894.00,22.00,1.00,2.00,0.00,2.00,0.00
San Bernardino,43894.00,356.00,11.00,118.00,204.00,44.00,53.00
San Diego,43894.00,1114.00,17.00,171.00,308.00,84.00,28.00
San Francisco,43894.00,506.00,6.00,80.00,71.00,39.00,8.00
San Joaquin,43894.00,162.00,10.00,41.00,38.00,18.00,8.00
San Luis Obispo,43894.00,82.00,0.00,4.00,5.00,3.00,2.00
San Mateo,43894.00,474.00,13.00,65.00,39.00,26.00,4.00
Santa Barbara,43894.00,154.00,1.00,27.00,29.00,18.00,4.00
Santa Clara,43894.00,983.00,39.00,164.00,83.00,71.00,17.00
Santa Cruz,43894.00,52.00,1.00,4.00,8.00,3.00,0.00
Shasta,43894.00,10.00,1.00,2.00,9.00,1.00,3.00
Sierra,43894.00,0.00,0.00,,,,
Siskiyou,43894.00,3.00,0.00,0.00,3.00,0.00,1.00
Solano,43894.00,72.00,1.00,16.00,21.00,7.00,5.00
Sonoma,43894.00,84.00,1.00,6.00,24.00,2.00,3.00
Stanislaus,43894.00,48.00,0.00,28.00,45.00,12.00,8.00
Sutter,43894.00,12.00,1.00,0.00,0.00,,
Tehama,43894.00,1.00,0.00,0.00,0.00,0.00,0.00
Trinity,43894.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,43894.00,73.00,3.00,6.00,15.00,5.00,2.00
Tuolumne,43894.00,1.00,0.00,0.00,0.00,0.00,0.00
Unassigned,43894.00,54.00,1.00,,,,
Ventura,43894.00,186.00,6.00,22.00,116.00,6.00,28.00
Yolo,43894.00,33.00,1.00,2.00,7.00,3.00,6.00
Yuba,43894.00,6.00,0.00,2.00,12.00,2.00,2.00
Alameda,43925.00,468.00,12.00,60.00,95.00,35.00,18.00
Alpine,43925.00,1.00,0.00,,,,
Amador,43925.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,43925.00,10.00,0.00,3.00,14.00,1.00,4.00
Calaveras,43925.00,3.00,0.00,0.00,1.00,0.00,0.00
Colusa,43925.00,1.00,0.00,1.00,0.00,1.00,0.00
Contra Costa,43925.00,382.00,5.00,30.00,47.00,12.00,7.00
Del Norte,43925.00,1.00,0.00,0.00,2.00,0.00,0.00
El Dorado,43925.00,19.00,0.00,15.00,9.00,0.00,3.00
Fresno,43925.00,102.00,1.00,14.00,93.00,7.00,20.00
Glenn,43925.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,43925.00,29.00,0.00,1.00,4.00,0.00,0.00
Imperial,43925.00,42.00,1.00,9.00,10.00,5.00,2.00
Inyo,43925.00,10.00,0.00,8.00,106.00,1.00,1.00
Kern,43925.00,103.00,2.00,33.00,54.00,14.00,11.00
Kings,43925.00,3.00,0.00,1.00,9.00,1.00,0.00
Lake,43925.00,0.00,0.00,0.00,4.00,0.00,1.00
Lassen,43925.00,0.00,0.00,0.00,0.00,0.00,0.00
Los Angeles,43925.00,5275.00,117.00,1007.00,1190.00,449.00,181.00
Madera,43925.00,27.00,2.00,0.00,4.00,0.00,0.00
Marin,43925.00,111.00,6.00,5.00,16.00,3.00,5.00
Mariposa,43925.00,0.00,0.00,0.00,2.00,0.00,0.00
Mendocino,43925.00,4.00,0.00,0.00,3.00,0.00,1.00
Merced,43925.00,11.00,0.00,5.00,14.00,1.00,1.00
Modoc,43925.00,0.00,0.00,0.00,0.00,0.00,0.00
Mono,43925.00,18.00,1.00,20.00,2.00,0.00,0.00
Monterey,43925.00,61.00,2.00,16.00,25.00,4.00,2.00
Napa,43925.00,15.00,2.00,1.00,8.00,0.00,1.00
Nevada,43925.00,19.00,1.00,2.00,6.00,2.00,2.00
Orange,43925.00,781.00,15.00,143.00,213.00,70.00,45.00
Placer,43925.00,87.00,2.00,23.00,14.00,10.00,1.00
Plumas,43925.00,2.00,0.00,0.00,0.00,0.00,0.00
Riverside,43925.00,652.00,15.00,126.00,186.00,39.00,56.00
Sacramento,43925.00,393.00,11.00,69.00,76.00,25.00,18.00
San Benito,43925.00,22.00,1.00,2.00,3.00,2.00,0.00
San Bernardino,43925.00,373.00,13.00,138.00,254.00,51.00,66.00
San Diego,43925.00,1211.00,18.00,177.00,218.00,86.00,19.00
San Francisco,43925.00,537.00,6.00,80.00,65.00,37.00,7.00
San Joaquin,43925.00,171.00,10.00,43.00,30.00,16.00,7.00
San Luis Obispo,43925.00,82.00,0.00,4.00,6.00,3.00,3.00
San Mateo,43925.00,520.00,17.00,66.00,19.00,25.00,6.00
Santa Barbara,43925.00,167.00,1.00,28.00,34.00,18.00,2.00
Santa Clara,43925.00,1045.00,39.00,159.00,79.00,72.00,19.00
Santa Cruz,43925.00,56.00,1.00,4.00,6.00,3.00,0.00
Shasta,43925.00,11.00,2.00,2.00,10.00,4.00,0.00
Sierra,43925.00,0.00,0.00,,,,
Siskiyou,43925.00,3.00,0.00,0.00,2.00,0.00,1.00
Solano,43925.00,79.00,1.00,16.00,19.00,7.00,2.00
Sonoma,43925.00,88.00,1.00,7.00,16.00,2.00,6.00
Stanislaus,43925.00,51.00,0.00,30.00,45.00,12.00,9.00
Sutter,43925.00,14.00,1.00,0.00,0.00,,
Tehama,43925.00,1.00,0.00,0.00,1.00,0.00,0.00
